Frequency       Specific_Flux_Density
# Shifted to 64km/s   #mean in elliptical region shown in Corby et al. (2015), MNRAS
(MHz)	        (mJy_arcsec^{-2}) 

29825.48045532  -0.04351932 
29826.48066932  0.01250332 
29827.48088232  -0.00505532 
29828.48109632  -0.00880532 
29829.48130932  0.01305932 
29830.48152332  0.06189132 
29831.48173632  -0.02185732 
29832.48195032  -0.05609432 
29833.48216332  0.05815532 
29834.48237732  0.01129532 
29835.48259132  -0.10736732 
29836.48085132  0.06053032 
29837.48106432  0.02604732 
29838.48127832  0.14809832 
29839.48149132  0.08697232 
29840.48170532  0.03737632 
29841.48191832  0.04696032 
29842.48213232  0.10039432 
29843.48234532  0.06379632 
29844.48255932  -0.06552932 
29845.48277232  0.12619432 
29846.48298632  0.16212032 
29847.48319932  0.09970732 
29848.48341332  0.17190032 
29849.48362632  0.04161432 
29850.48384032  0.08528332 
29851.48210032  0.01106132 
29852.48231332  0.03730732 
29853.48252732  -0.06475132 
29854.48274032  -0.03107632 
29855.48295432  -0.05912032 
29856.48316832  -0.06949532 
29857.48338132  -0.07987132 
29858.48359532  -0.07913932 
29859.48380832  -0.02876532 
29860.48402232  -0.02946732 
29861.48423532  -0.08250732 
29862.48444932  -0.03419532 
29863.48466232  0.02458832 
29864.48487632  -0.05470732 
29865.48508932  0.01198532 
29866.48334932  -0.01617632 
29867.48356332  -0.00845232 
29868.48377632  0.07916432 
29869.48399032  -0.07504132 
29870.48420332  -0.00768232 
29871.48441732  0.02379632 
29872.48463032  -0.01338032 
29873.48484432  -0.02667132 
29874.48505732  -0.01695532 
29875.48527132  0.04920532 
29876.48548532  0.07327332 
29877.48569832  -0.01304632 
29878.48591232  -0.01159332 
29879.48612532  0.04436532 
29880.48633932  0.03040132 
29881.48459932  0.02147332 
29882.48481232  -0.07602332 
29883.48502632  -0.06525332 
29884.48523932  0.04565432 
29885.48545332  -0.01020032 
29886.48566632  -0.04978232 
29887.48588032  0.02055632 
29888.48609332  0.01653432 
29889.48630732  -0.07768332 
29890.48652032  -0.02814832 
29891.48673432  0.08539132 
29892.48694732  0.05858232 
29893.48716132  -0.05016332 
29894.48737432  -0.14167732 
29895.48758832  -0.06325632 
29896.48584832  -0.00542232 
29897.48606132  0.01760132 
29898.48627532  -0.04250732 
29899.48648932  -0.03087032 
29900.48670232  -0.15194332 
