Frequency             Specific_Flux_Density
# Shifted to 64km/s   #mean in elliptical region shown in Corby et al. (2015), MNRAS
(MHz)	              (mJy_arcsec^{-2}) 

29825.48045532  0.00148732 
29826.48066932  0.02043932 
29827.48088232  -0.04968832 
29828.48109632  0.10492432 
29829.48130932  -0.00868332 
29830.48152332  -0.14051332 
29831.48173632  -0.01325432 
29832.48195032  0.04446532 
29833.48216332  0.00736032 
29834.48237732  -0.00420332 
29835.48259132  0.00097732 
29836.48085132  -0.00919932 
29837.48106432  -0.00058432 
29838.48127832  0.02196132 
29839.48149132  -0.09776932 
29840.48170532  0.00389132 
29841.48191832  -0.01280132 
29842.48213232  -0.03320832 
29843.48234532  -0.06940732 
29844.48255932  -0.09692332 
29845.48277232  -0.02046732 
29846.48298632  -0.02299532 
29847.48319932  -0.02049732 
29848.48341332  0.00914132 
29849.48362632  0.01289832 
29850.48384032  -0.09303932 
29851.48210032  -0.01803532 
29852.48231332  0.07482532 
29853.48252732  0.04991932 
29854.48274032  0.01479832 
29855.48295432  -0.05746932 
29856.48316832  -0.03090232 
29857.48338132  -0.00433532 
29858.48359532  0.10583832 
29859.48380832  0.00810932 
29860.48402232  0.03664432 
29861.48423532  0.05471332 
29862.48444932  -0.05494432 
29863.48466232  0.00099232 
29864.48487632  0.07809632 
29865.48508932  0.03053432 
29866.48334932  -0.00628132 
29867.48356332  -0.01366932 
29868.48377632  0.07327232 
29869.48399032  0.17011732 
29870.48420332  -0.02770332 
29871.48441732  -0.00779132 
29872.48463032  0.00100732 
29873.48484432  -0.06229532 
29874.48505732  0.00125232 
29875.48527132  0.00667132 
29876.48548532  -0.06169032 
29877.48569832  -0.05899832 
29878.48591232  -0.06676332 
29879.48612532  0.02080032 
29880.48633932  0.02680432 
29881.48459932  0.00769032 
29882.48481232  -0.04345032 
29883.48502632  0.02271432 
29884.48523932  -0.03765432 
29885.48545332  0.01542632 
29886.48566632  -0.00520932 
29887.48588032  -0.02215432 
29888.48609332  0.00352532 
29889.48630732  0.14883732 
29890.48652032  0.01874632 
29891.48673432  0.06741232 
29892.48694732  -0.12741232 
29893.48716132  -0.01442932 
29894.48737432  0.06459132 
29895.48758832  0.00484832 
29896.48584832  -0.02798132 
29897.48606132  -0.03886932 
29898.48627532  -0.12305032 
29899.48648932  -0.07978732 
29900.48670232  -0.03981132 
