Frequency       Specific_Flux_Density
# Shifted to 64km/s   #mean in elliptical region shown in Corby et al. (2015), MNRAS
(MHz)	        (mJy_arcsec^{-2}) 

29825.48045532  -0.02433232 
29826.48066932  0.04009232 
29827.48088232  0.09797632 
29828.48109632  0.03693032 
29829.48130932  0.07759932 
29830.48152332  0.05496232 
29831.48173632  -0.04125832 
29832.48195032  -0.00298932 
29833.48216332  -0.08737832 
29834.48237732  -0.01310832 
29835.48259132  -0.06717532 
29836.48085132  -0.04925332 
29837.48106432  -0.00392132 
29838.48127832  -0.09487632 
29839.48149132  0.03488132 
29840.48170532  -0.12304432 
29841.48191832  0.02328032 
29842.48213232  -0.06923632 
29843.48234532  0.00428232 
29844.48255932  -0.00272132 
29845.48277232  -0.01313532 
29846.48298632  -0.04608332 
29847.48319932  0.00087532 
29848.48341332  -0.05217932 
29849.48362632  0.10533132 
29850.48384032  0.06654932 
29851.48210032  0.08631932 
29852.48231332  0.02906132 
29853.48252732  0.09890932 
29854.48274032  0.00026632 
29855.48295432  -0.00227532 
29856.48316832  0.05313632 
29857.48338132  0.10854832 
29858.48359532  0.00125532 
29859.48380832  0.06765532 
29860.48402232  0.05653332 
29861.48423532  0.01825732 
29862.48444932  -0.09139232 
29863.48466232  -0.08748132 
29864.48487632  -0.12627232 
29865.48508932  0.08218232 
29866.48334932  0.06963832 
29867.48356332  0.05576132 
29868.48377632  0.03228032 
29869.48399032  -0.03589632 
29870.48420332  0.00785432 
29871.48441732  -0.01776432 
29872.48463032  -0.02757932 
29873.48484432  -0.04842032 
29874.48505732  -0.00528632 
29875.48527132  -0.01499532 
29876.48548532  0.05155432 
29877.48569832  -0.06865332 
29878.48591232  -0.11673432 
29879.48612532  0.05225632 
29880.48633932  -0.02939332 
29881.48459932  0.09461432 
29882.48481232  0.05763032 
29883.48502632  -0.03196132 
29884.48523932  -0.04514632 
29885.48545332  0.04954832 
29886.48566632  -0.03716732 
29887.48588032  0.09434832 
29888.48609332  -0.02810132 
29889.48630732  0.11425932 
29890.48652032  -0.08430032 
29891.48673432  0.07821232 
29892.48694732  0.06818132 
29893.48716132  0.02586532 
29894.48737432  0.11499132 
29895.48758832  -0.01619932 
29896.48584832  -0.07606632 
29897.48606132  0.01813332 
29898.48627532  -0.04304532 
29899.48648932  -0.13641032 
29900.48670232  -0.13299932 
