Frequency       Specific_Flux_Density
# Shifted to 64km/s   #mean in elliptical region shown in Corby et al. (2015), MNRAS
(MHz)	        (mJy_arcsec^{-2}) 

29825.48045532  0.03952832 
29826.48066932  0.02269932 
29827.48088232  0.06311832 
29828.48109632  0.08956632 
29829.48130932  -0.02364632 
29830.48152332  -0.08742932 
29831.48173632  -0.04158832 
29832.48195032  0.00843732 
29833.48216332  -0.06308832 
29834.48237732  0.03159232 
29835.48259132  -0.03536032 
29836.48085132  0.05203932 
29837.48106432  -0.03234332 
29838.48127832  -0.05661332 
29839.48149132  -0.10338032 
29840.48170532  0.03084132 
29841.48191832  -0.06640732 
29842.48213232  -0.05556132 
29843.48234532  -0.07346932 
29844.48255932  -0.06754932 
29845.48277232  -0.05973532 
29846.48298632  -0.10221332 
29847.48319932  -0.05597832 
29848.48341332  0.00676032 
29849.48362632  0.06324632 
29850.48384032  -0.04321832 
29851.48210032  0.05281332 
29852.48231332  0.07936932 
29853.48252732  0.01541632 
29854.48274032  0.04271832 
29855.48295432  0.02213032 
29856.48316832  0.03231932 
29857.48338132  0.04250932 
29858.48359532  -0.03134032 
29859.48380832  0.08401832 
29860.48402232  -0.00997032 
29861.48423532  0.02077532 
29862.48444932  -0.05656732 
29863.48466232  0.06412032 
29864.48487632  0.02146532 
29865.48508932  -0.02519232 
29866.48334932  0.01230732 
29867.48356332  -0.04485632 
29868.48377632  0.14142132 
29869.48399032  0.13748832 
29870.48420332  0.08983532 
29871.48441732  0.06503432 
29872.48463032  0.02400832 
29873.48484432  -0.00772632 
29874.48505732  0.01273632 
29875.48527132  -0.03626732 
29876.48548532  -0.01069432 
29877.48569832  -0.00917632 
29878.48591232  -0.00692632 
29879.48612532  0.03000432 
29880.48633932  0.05567032 
29881.48459932  0.19871132 
29882.48481232  0.04355832 
29883.48502632  -0.02560132 
29884.48523932  -0.09486132 
29885.48545332  -0.07457632 
29886.48566632  -0.00024732 
29887.48588032  -0.00538632 
29888.48609332  -0.00883632 
29889.48630732  0.14070032 
29890.48652032  0.04115332 
29891.48673432  0.06958232 
29892.48694732  -0.09718532 
29893.48716132  -0.04571232 
29894.48737432  0.03587332 
29895.48758832  -0.02646032 
29896.48584832  -0.00319032 
29897.48606132  -0.03674432 
29898.48627532  -0.07897832 
29899.48648932  -0.00097332 
29900.48670232  0.01891732 
