sid[0] is nullSpecies:Chemical Name:Freq-GHz:Resolved<br>QNs:Lovas/AST<br>Intensity:Linelist
t-CH3CH2OH:trans-Ethanol:29.70062:2(2,0)-3(1,3):0.35627:JPL
HCCNCv=0:Ethyne Isocyanide:29.80696:3-2:0.16:Lovas
CH3OCH3:Dimethyl ether:29.9014:1(1,0)-1(0,1) EE::JPL
NH3v=0:Ammonia:29.91449:11(11)0a-11(11)0s:0.44:Lovas
t-CH3CH2OH:trans-Ethanol:29.97938:3(1,2)-3(0,3):3.4925:JPL
SO3&Sigma;v=0:Sulfur Monoxide:30.00155:1(0)-0(1):0.44:Lovas
NaCN/NaNC:Sodium Cyanide:30.1806:2(1,2)-1(1,1):117.48375:SLAIM
C6H&#150;:1,3,5-Hexatriynyl anion:30.29081:11-10:0.015:Lovas
CNCHO:Cyanoformaldehyde:30.29418:9(0,0)-8(1,8):0.023:Lovas
CH3OHvt=0:Methanol:30.30802:17(2,15)-17(1,16):0.5:Lovas
HC7Nv=0:2,4,6-Heptatriynenitrile:30.45574:J=27-26:0.054:Lovas
CH3OCHOv=0:Methyl Formate:30.55982:5(1,4)-4(2,3)A::JPL
CH3OCHOv=0:Methyl Formate:30.5641:5(1,4)-4(2,3)E::JPL
CH3OCHOv=0:Methyl Formate:30.69515:9(2,7)-9(2,8)E::JPL
CH3OCHOv=0:Methyl Formate:30.70254:9(2,7)-9(2,8)A::JPL
CH3OHvt=0:Methanol:30.85828:18(2,16)-18(1,17): 0.5e:Lovas
CH3CHOv=0:Acetaldehyde:30.94133:8(1,7)-7(2,6)A::JPL
CH3OCH3:Dimethyl ether:30.96655:5(3,3)-6(2,4)EA::SLAIM
CH3OCH3:Dimethyl ether:30.97097:5(3,3)-6(2,4)AE::SLAIM
CH3OCH3:Dimethyl ether:30.97314:5(3,3)-6(2,4)EE::SLAIM
CH3OCH3:Dimethyl ether:30.97786:5(3,3)-6(2,4)AA::SLAIM
HDCS:Thioformaldehyde:31.0023:1(0,1)-0(0,0):0.141:Lovas
CH3OCH3:Dimethyl ether:31.10522:2(1,1)-2(0,2)AE:  b:Lovas
CH3OCH3:Dimethyl ether:31.10522:2(1,1)-2(0,2)AE:  b:SLAIM
CH3OCH3:Dimethyl ether:31.10523:2(1,1)-2(0,2)EA:  b:Lovas
CH3OCH3:Dimethyl ether:31.10523:2(1,1)-2(0,2)EA:  b:SLAIM
CH3OCH3:Dimethyl ether:31.10615:2(1,1)-2(0,2)EE: 0.2b:Lovas
CH3OCH3:Dimethyl ether:31.10615:2(1,1)-2(0,2)EE: 0.2b:SLAIM
CH3OCH3:Dimethyl ether:31.10707:2(1,1)-2(0,2)AA:  b:Lovas
CH3OCH3:Dimethyl ether:31.10707:2(1,1)-2(0,2)AA:  b:SLAIM
CH3OCHOv=0:Methyl Formate:31.2415:12(1,11)-11(3,8)A::JPL
NaCN/NaNC:Sodium Cyanide:31.26233:2(0,2)-1(0,1):156.62934:SLAIM
CH3OCHO :Methyl Formate:31.26254:11(7,5)-12(6,6)A::JPL
CH3OCHOv=0:Methyl Formate:31.28504:12(1,11)-11(3,8)E::JPL
CH3OHvt=0:Methanol:31.35835:20(2,18)-20(1,19): 0.4e:Lovas
NH3v=0:Ammonia:31.42494:12(12)0a-12(12)0s:0.3:Lovas
HC7Nv=0:2,4,6-Heptatriynenitrile:31.58371:J=28-27:0.3:Lovas
cis-CH2OHCHOv=0:Glycolaldehyde:31.72707:5(2,3)-5(1,4):9.39099:JPL
cis-CH2OHCHOv=0:Glycolaldehyde:31.83303:6(2,4)-6(1,5):-5.4369:
CH3CH2CHO:Propanol:31.911198:3(2,1)-2(2,0)::
H2COH+:Hydroxymethylium ion:31.91462:3(0,3)-2(1,2):0.097:Lovas
HCC13CCCN:Cyanobutadiyne:31.91869:12-11:0.005:Lovas
SO2v=0:Sulfur dioxide:31.92221:16(4,12)-17(3,15):-5.3863:CDMS
SO2v=0:Sulfur dioxide:31.92221:16(4,12)-17(3,15):-5.3863:
HCCC13CCN:Cyanobutadiyne:31.92257:12-11:0.005:Lovas
HC5Nv=0:Cyanobutadiyne:31.95178:J=12-11:1.77:Lovas
CH3OCH3:Dimethyl ether:31.9961:9(2,7)-8(3,6)AA::SLAIM
CH3OCH3:Dimethyl ether:31.99935:9(2,7)-8(3,6)EE::SLAIM
CH3OCH3:Dimethyl ether:32.00245:9(2,7)-8(3,6)AE::SLAIM
CH3OCH3:Dimethyl ether:32.00276:9(2,7)-8(3,6)EA::SLAIM
NH2CHO:Formamide:32.29726:6(1,5)-6(1,6)::SLAIM
NaCN/NaNC:Sodium Cyanide:32.37367:2(1,1)-1(1,0):117.48375:SLAIM
13CH3OH:Methanol:32.398556:4(-1,4)-3(0,3)::SLAIM
CH3CHOv=0:Acetaldehyde:32.48607:8(1,7)-7(2,6)E::JPL
CH3C4H:Methyl diacetylene:32.57144:8(1)-7(1):0.08:Lovas
CH3C4H:Methyl diacetylene:32.57176:8(0)-7(0):0.08:Lovas
l-C3Hv=0:Propynylidyne:32.61702:2P1/2J=3/2-1/2F=1-1f:0.08:Lovas
l-C3Hv=0:Propynylidyne:32.6273:2P1/2J=3/2-1/2,F=2-1f:0.28:Lovas
l-C3Hv=0:Propynylidyne:32.63439:2P1/2J=3/2-1/2,F=1-0f:0.13:Lovas
l-C3Hv=0:Propynylidyne:32.66065:2P1/2J=3/2-1/2,F=2-1e:0.35:Lovas
l-C3Hv=0:Propynylidyne:32.66338:2P1/2J=3/2-1/2,F=1-0e:0.17:Lovas
l-C3Hv=0:Propynylidyne:32.66764:2P1/2J=3/2-1/2F=1-1e:0.06:Lovas
cis-CH2OHCHOv=0:Glycolaldehyde:32.67252:4(2,2)-4(1,3):6.48021:JPL
CH3CHO:Acetaldehyde:32.70918:4(0,4)-3(1,3)A::JPL
CH3CHOv=0:Acetaldehyde:32.70918:4(0,4)-3(1,3)A::JPL
t-CH3CH2OH:trans-Ethanol:32.742823:4(1,3)-4(0,4)::JPL
CH3OCH3:Dimethyl ether:32.97727:3(1,2)-3(0,3)AE::SLAIM
CH3OCH3:Dimethyl ether:32.97728:3(1,2)-3(0,3)EA::SLAIM
CH3OCH3:Dimethyl ether:32.97734:3(1,2)-3(0,3)AE::JPL
CH3OCH3:Dimethyl ether:32.97823:3(1,2)-3(0,3)EE::SLAIM
CH3OCH3:Dimethyl ether:32.97918:3(1,2)-3(0,3)AA::SLAIM
CH3C3N:2-Butynenitrile:33.05162:8(0)-7(0):0.057:Lovas
NH3v=0:Ammonia:33.15685:13(13)0a-13(13)0s:0.1:Lovas
CH3OCHOv=0:Methyl Formate:33.1642:6(1,5)-6(1,6)E::JPL
CH3OCHOv=0:Methyl Formate:33.18627:6(1,5)-6(1,6)A::JPL
CH3CHOv=0:Acetaldehyde:33.23647:4(0,4)-3(1,3)E::JPL
UnidentifiedTransition:UNIDENTIFIED:33.3323:U-33332.3:0.008:Lovas
CH3OCHOv=0:Methyl Formate:33.33766:10(2,9)-9(3,6)A::JPL
UnidentifiedTransition:UNIDENTIFIED:33.3393:U-33339.3:0.008:Lovas
cis-CH2OHCHOv=0:Glycolaldehyde:33.35401:2(1,2)-1(0,1):0.55162:JPL
CH3OCHOv=0:Methyl Formate:33.36639:10(2,9)-9(3,6)E::JPL
CH3OCH3:Dimethyl ether:33.39274:5(3,2)-6(2,5)AE::SLAIM
CH3OCH3:Dimethyl ether:33.39716:5(3,2)-6(2,5)EA::SLAIM
CH3OCH3:Dimethyl ether:33.39749:5(3,2)-6(2,5)EE::SLAIM
CH3OCH3:Dimethyl ether:33.39967:5(3,2)-6(2,5)AA::SLAIM
CH2NH:Methanimine:33.704825:1(1,1)-2(0,2)::
CCS:Thioxoethenylidene:33.75137:3,2-2,1:0.032:Lovas
HC7Nv=0:2,4,6-Heptatriynenitrile:33.83963:J=30-29:0.074:Lovas
CH3OCHOv=0:Methyl Formate:34.15688:3(1,3)-2(1,2)E::JPL
CH3OCHO :Methyl Formate:34.15688:3(1,3)-2(1,2)E::JPL
CH3OCHOv=0:Methyl Formate:34.15812:3(1,3)-2(1,2)A::JPL
CH3CCHv=0:Methyl Acetylene:34.18276:2(1)-1(1):0.2:Lovas
CH3CCHv=0:Methyl Acetylene:34.18341:2(0)-1(0):0.25:Lovas
cis-CH2OHCHOv=0:Glycolaldehyde:34.22547:3(2,1)-3(1,2):4.13905:JPL
