Species:Chemical Name:Freq-GHz:Resolved<br>QNs:Linelist
H&epsilon;:Hydrogen Recombination Line:29.69097:H(101)&epsilon;:Recomb
H&delta;:Hydrogen Recombination Line:29.75719:H(94)&delta;:Recomb
H&beta;:Hydrogen Recombination Line:29.97148:H(75)&beta;:Recomb
He&beta;:Helium Recombination Line:29.98369:He(75)&beta;:Recomb
H&gamma;:Hydrogen Recombination Line:30.5002:H(85)&gamma;:Recomb
H&zeta;:Hydrogen Recombination Line:30.51396:H(106)&zeta;:Recomb
H&epsilon;:Hydrogen Recombination Line:30.56918:H(100)&epsilon;:Recomb
H&delta;:Hydrogen Recombination Line:30.70738:H(93)&delta;:Recomb
H&beta;:Hydrogen Recombination Line:31.18668:H(74)&beta;:Recomb
He&beta;:Helium Recombination Line:31.19939:He(74)&beta;:Recomb
H&alpha;:Hydrogen Recombination Line:31.22331:H(59)&alpha;:Recomb
He&alpha;:Helium Recombination Line:31.23604:He(59)&alpha;:Recomb
H&zeta;:Hydrogen Recombination Line:31.37032:H(105)&zeta;:Recomb
H&epsilon;:Hydrogen Recombination Line:31.48238:H(99)&epsilon;:Recomb
H&gamma;:Hydrogen Recombination Line:31.5834:H(84)&gamma;:Recomb
H&delta;:Hydrogen Recombination Line:31.69847:H(92)&delta;:Recomb
H&zeta;:Hydrogen Recombination Line:32.25905:H(104)&zeta;:Recomb
H&epsilon;:Hydrogen Recombination Line:32.43232:H(98)&epsilon;:Recomb
H&beta;:Hydrogen Recombination Line:32.46848:H(73)&beta;:Recomb
He&beta;:Helium Recombination Line:32.48172:He(73)&beta;:Recomb
H&gamma;:Hydrogen Recombination Line:32.7185:H(83)&gamma;:Recomb
H&delta;:Hydrogen Recombination Line:32.73267:H(91)&delta;:Recomb
H&alpha;:Hydrogen Recombination Line:32.8522:H(58)&alpha;:Recomb
He&alpha;:Helium Recombination Line:32.86558:He(58)&alpha;:Recomb
H&zeta;:Hydrogen Recombination Line:33.18167:H(103)&zeta;:Recomb
H&epsilon;:Hydrogen Recombination Line:33.42088:H(97)&epsilon;:Recomb
H&delta;:Hydrogen Recombination Line:33.81237:H(90)&delta;:Recomb
H&beta;:Hydrogen Recombination Line:33.82151:H(72)&beta;:Recomb
He&beta;:Helium Recombination Line:33.83529:He(72)&beta;:Recomb
H&gamma;:Hydrogen Recombination Line:33.90867:H(82)&gamma;:Recomb
H&zeta;:Hydrogen Recombination Line:34.13982:H(102)&zeta;:Recomb
H&epsilon;:Hydrogen Recombination Line:34.45003:H(96)&epsilon;:Recomb
H&alpha;:Hydrogen Recombination Line:34.59638:H(57)&alpha;:Recomb
He&alpha;:Helium Recombination Line:34.61048:He(57)&alpha;:Recomb
H&delta;:Hydrogen Recombination Line:34.94009:H(89)&delta;:Recomb
H&zeta;:Hydrogen Recombination Line:35.13523:H(101)&zeta;:Recomb
H&gamma;:Hydrogen Recombination Line:35.15727:H(81)&gamma;:Recomb
H&beta;:Hydrogen Recombination Line:35.25077:H(71)&beta;:Recomb
He&beta;:Helium Recombination Line:35.26514:He(71)&beta;:Recomb
H&epsilon;:Hydrogen Recombination Line:35.52188:H(95)&epsilon;:Recomb
H&delta;:Hydrogen Recombination Line:36.11853:H(88)&delta;:Recomb
H&zeta;:Hydrogen Recombination Line:36.16973:H(100)&zeta;:Recomb
H&alpha;:Hydrogen Recombination Line:36.46626:H(56)&alpha;:Recomb
H&gamma;:Hydrogen Recombination Line:36.46794:H(80)&gamma;:Recomb
He&alpha;:Helium Recombination Line:36.48112:He(56)&alpha;:Recomb
H&epsilon;:Hydrogen Recombination Line:36.63868:H(94)&epsilon;:Recomb
H&beta;:Hydrogen Recombination Line:36.76172:H(70)&beta;:Recomb
He&beta;:Helium Recombination Line:36.7767:He(70)&beta;:Recomb
H&zeta;:Hydrogen Recombination Line:37.24526:H(99)&zeta;:Recomb
H&delta;:Hydrogen Recombination Line:37.35057:H(87)&delta;:Recomb
H&epsilon;:Hydrogen Recombination Line:37.80279:H(93)&epsilon;:Recomb
H&gamma;:Hydrogen Recombination Line:37.84459:H(79)&gamma;:Recomb
H&beta;:Hydrogen Recombination Line:38.36027:H(69)&beta;:Recomb
H&zeta;:Hydrogen Recombination Line:38.36386:H(98)&zeta;:Recomb
He&beta;:Helium Recombination Line:38.37591:He(69)&beta;:Recomb
